q1answer,q2answer,q3answer,q4answer,q5answer,q6answer,group_id,q1confidence,q2confidence,q3confidence,q4confidence,q5confidence,q6confidence,participant_id,q1wordsTotal,q2wordsTotal,q3wordsTotal,q4wordsTotal,q5wordsTotal,q6wordsTotal,q1interventionsTotal,q2interventionsTotal,q3interventionsTotal,q4interventionsTotal,q5interventionsTotal,q6interventionsTotal,q1wordLengthMean,q2wordLengthMean,q3wordLengthMean,q4wordLengthMean,q5wordLengthMean,q6wordLengthMean
6,5,2,8,6,4,121,4,3,3,4,3,4,537,,,74,95,91,55,,,13,16,23,15,,,4.324324324,3.85106383,4.252747253,4.454545455
0,6,8,0,7,6,121,5,4,4,5,4,3,535,,,60,129,88,86,,,11,12,14,9,,,4.649122807,4.642276423,4,4.3375
8,4,3,4,4,3,121,5,3,3,4,4,4,536,,,77,122,113,84,,,6,12,16,9,,,4.631578947,4.79338843,4.243243243,4.879518072
8,5,10,10,5,0,122,4,3,5,4,3,5,532,142,74,123,,,103,7,12,6,,,7,4.549295775,4.135135135,4.308943089,,,4.174757282
6,2,5,7,8,3,122,3,4,3,2,4,3,538,51,87,32,,,83,12,13,7,,,14,4.352941176,3.83908046,4.125,,,3.951807229
4,6,5,3,6,5,122,3,4,3,3,3,1,539,36,65,72,,,44,5,10,6,,,7,4.666666667,4.261538462,4.222222222,,,4.886363636
2,6,4,5,6,6,123,4,4,2,3,4,4,543,31,34,,27,36,,3,5,,4,6,,4.133333333,5,,4.68,4.117647059,
5,8,8,0,6,3,123,3,4,4,1,3,2,541,42,53,,16,39,,6,11,,5,6,,4.641025641,4.04,,4.5,4.394736842,
3,0,4,6,10,2,123,4,5,4,4,5,4,540,65,91,,59,61,,7,10,,6,6,,4.246153846,4.688888889,,3.881355932,4.1,
4,4,6,4,4,4,124,4,3,5,2,2,2,576,24,58,91,,108,,11,15,21,,21,,4.291666667,4.879310345,4.32967033,,4.351851852,
10,5,10,0,5,0,124,5,3,3,5,3,5,579,11,,106,,30,,2,,11,,2,,3.727272727,,4.20952381,,3.766666667,
10,10,5,0,7,0,124,5,5,2,5,2,4,573,50,124,99,,99,,8,12,15,,12,,4.102040816,4.459677419,4.336734694,,4.387755102,
9,4,8,9,6,3,128,4,3,4,4,3,3,584,91,,,127,31,18,13,,,8,5,4,4.288888889,,,5.275590551,4.366666667,4
10,7,8,5,5,0,128,5,4,4,3,3,1,588,80,,,103,23,39,13,,,12,3,8,4.275362319,,,3.978947368,3.5,3.588235294
5,5,8,2,8,0,128,4,4,4,4,4,4,585,61,,,74,52,13,7,,,10,8,4,4.114754098,,,4.315068493,4.215686275,3.769230769
8,7,9,1,4,1,131,4,4,3,4,4,4,644,,50,,76,89,68,,7,,6,10,11,,3.9,,4.526315789,4.168539326,4.279411765
8,0,10,0,6,6,131,4,1,5,1,3,3,632,,44,,61,58,38,,12,,11,16,12,,4.590909091,,4.416666667,3.620689655,4.5
10,8,10,9,10,1,131,5,4,5,5,4,1,635,,52,,78,133,78,,9,,9,18,12,,4.115384615,,4.423076923,4.37593985,4.525641026
10,9,5,0,7,3,133,5,4,4,5,3,4,686,43,46,,,49,63,9,10,,,9,9,4.23255814,3.804347826,,,3.836734694,4.53968254
6,8,10,2,8,1,133,3,4,5,5,4,5,689,71,45,,,114,86,11,7,,,12,8,4.275362319,3.772727273,,,3.831858407,3.895348837
7,10,7,5,5,0,133,3,4,3,3,3,4,683,58,61,,,58,57,13,14,,,14,17,4.263157895,4.220338983,,,4,4.157894737
10,5,10,5,7,0,139,5,5,3,5,3,5,702,167,78,,145,,87,13,19,,17,,18,4.28313253,3.973684211,,4.606896552,,4.23255814
10,5,7,3,7,5,139,5,5,4,5,5,3,708,78,43,,93,,77,9,11,,12,,15,4.324324324,4.441860465,,4.510869565,,4.783783784
10,2,8,10,7,3,139,5,5,3,4,3,4,696,31,36,,74,,43,6,9,,6,,9,4.290322581,4.6,,4.430555556,,4.261904762
0,7,5,0,5,0,140,5,4,3,5,3,5,714,121,,17,37,,65,10,,4,2,,9,4.445378151,,4.352941176,4.324324324,,4.140625
5,8,10,9,7,9,140,4,4,5,5,2,1,717,75,,73,111,,60,13,,7,11,,12,4.144927536,,4.388059701,4.637254902,,4.358490566
5,0,7,0,6,0,140,1,5,4,5,3,5,723,111,,66,91,,48,9,,5,7,,7,4.342342342,,4.151515152,3.967032967,,3.914893617
8,9,6,4,9,3,141,4,4,4,4,5,4,735,32,,105,58,,21,3,,11,5,,7,3.96875,,3.951923077,3.965517241,,4.571428571
1,7,8,3,6,1,141,4,3,3,3,3,4,729,3,,41,31,,14,2,,5,5,,5,4.333333333,,4.12195122,4.451612903,,3.357142857
7,1,1,0,1,0,141,3,5,5,5,4,5,741,18,,99,65,,31,4,,11,5,,8,3.352941176,,4.693877551,4.276923077,,4.64516129
2,4,10,8,9,0,151,3,4,5,4,5,5,830,,30,55,,56,66,,4,3,,9,6,,4.1,4.563636364,,5.160714286,4.181818182
7,5,1,3,1,0,151,3,4,4,4,5,5,821,,48,89,,88,87,,7,7,,7,7,,3.913043478,4.252873563,,4.574712644,4.954022989
6,8,7,0,10,10,151,3,4,2,4,5,5,825,,55,135,,106,137,,5,10,,18,13,,4.264150943,4.178294574,,5.132653061,4.786259542
6,3,5,10,10,9,152,2,4,1,5,5,3,760,101,103,,94,,140,11,16,,19,,17,4.554455446,4.194174757,,4.957446809,,4.264285714
7,0,7,10,9,3,152,3,5,2,4,4,3,757,107,57,,10,,40,11,10,,4,,6,4.598130841,4.771929825,,3.6,,4.075
0,1,8,10,0,2,152,4,3,4,4,4,4,763,130,68,,52,,99,15,15,,10,,12,4.25862069,4.314814815,,5.363636364,,4.613636364
8,5,8,0,6,0,153,4,4,5,4,3,4,772,106,,,69,66,61,15,,,12,13,14,4.326923077,,,4.569230769,4.507936508,4.25
2,0,10,0,10,0,153,5,5,5,5,5,5,817,37,,,55,59,51,12,,,10,15,8,4.583333333,,,4.537037037,4.724137931,4.254901961
3,7,10,5,8,2,153,4,5,3,5,3,4,781,90,,,115,79,87,23,,,28,23,28,4.079545455,,,4.313043478,3.734177215,4.114942529
0,3,0,9,3,5,154,5,4,5,4,3,3,787,110,,66,,83,98,17,,12,,16,20,4.5,,4.983333333,,3.918918919,4.416666667
8,8,8,8,2,0,154,3,3,4,4,3,4,796,95,,102,,126,74,15,,13,,19,14,4.2,,4.039215686,,4.056451613,4.506849315
6,9,8,0,7,0,154,3,4,4,5,4,5,790,92,,62,,125,69,13,,8,,18,13,3.934065934,,4.491803279,,4.2,4.117647059
0,7,1,1,6,2,155,4,4,3,4,3,4,799,73,,,62,85,40,7,,,10,11,9,4.705882353,,,3.666666667,3.987179487,4.6875
0,10,0,10,0,0,155,5,5,5,5,4,5,811,73,,,60,53,35,11,,,10,11,7,5.082191781,,,5.06779661,5.094339623,4.823529412
8,10,7,5,6,0,155,4,5,4,5,4,5,832,48,,,38,50,20,5,,,6,8,5,4.319148936,,,4.131578947,4.979591837,4
8,5,8,5,7,0,159,4,3,4,4,4,4,834,60,,6,57,,24,7,,2,5,,6,4.35,,2.333333333,4.228070175,,3.833333333
10,9,10,0,10,0,159,4,5,5,5,3,5,855,101,,55,59,,35,7,,9,6,,6,4.445544554,,4.418181818,5.152542373,,4.771428571
5,6,6,7,8,0,159,4,3,3,4,4,4,852,102,,33,95,,22,10,,6,4,,6,4.239583333,,4.266666667,4.516853933,,4.5
5,5,5,0,0,0,160,5,5,5,5,5,5,870,,,62,42,57,20,,,7,4,5,6,,,3.967213115,4.714285714,4.5,4
2,7,6,4,6,3,160,4,4,3,3,4,4,873,,,64,57,35,67,,,6,7,4,6,,,3.857142857,4.696428571,4.085714286,4.272727273
0,4,4,4,4,0,160,5,3,3,2,3,5,882,,,24,60,55,19,,,4,8,6,6,,,3.708333333,4.050847458,4.309090909,5
7,6,10,5,9,10,171,4,4,5,3,4,5,976,84,119,161,,105,,9,12,14,,10,,4.69047619,4.596638655,4.664596273,,5.028571429,
10,10,10,0,6,0,171,5,5,5,5,5,5,974,32,141,87,,48,,9,13,7,,5,,4.72,4.080882353,4.070588235,,4.02173913,
5,1,3,5,5,0,171,3,3,3,3,3,4,980,103,91,88,,71,,16,15,10,,10,,4.825242718,4.450549451,4.367816092,,4.563380282,
8,4,4,0,7,7,172,4,3,4,4,3,3,991,94,,36,54,63,,26,,14,20,21,,4.35106383,,4.657142857,3.777777778,4.317460317,
10,10,5,0,8,5,172,4,5,3,3,5,3,987,95,,60,44,62,,23,,14,12,18,,4.784090909,,4.172413793,4.279069767,4.583333333,
5,0,2,0,2,0,172,3,4,4,3,3,5,986,83,,60,56,53,,21,,9,12,11,,4.37804878,,4,4.181818182,4.79245283,
10,9,1,4,10,5,173,4,3,3,3,5,5,992,107,29,24,,,67,20,7,5,,,16,3.962616822,4.034482759,4.375,,,3.791044776
3,5,9,1,7,8,173,4,4,4,4,4,4,994,33,34,34,,,30,10,10,8,,,7,4.242424242,4.705882353,3.970588235,,,3.931034483
7,5,3,0,0,0,173,2,4,3,5,4,4,993,44,10,22,,,48,12,4,7,,,14,4.348837209,4.3,3.952380952,,,4.063829787
6,4,6,5,8,0,174,3,4,4,4,4,5,995,,,161,199,109,94,,,21,23,19,17,,,4.161490683,4.186868687,4.212962963,4.387096774
1,1,5,5,1,1,174,4,5,2,4,5,5,1000,,,82,57,46,53,,,7,6,10,10,,,3.901234568,4.105263158,4.239130435,4.769230769
5,5,10,0,5,0,174,3,3,5,5,3,5,988,,,93,69,81,69,,,9,8,10,9,,,4.344086022,3.942028986,4.592592593,4.376811594
2,1,2,3,9,0,175,5,5,3,3,3,4,975,,90,,94,40,104,,9,,11,8,12,,4.311111111,,4.204301075,4.6,4.59223301
3,9,9,1,6,0,175,4,5,5,4,3,5,977,,25,,30,15,20,,4,,7,5,4,,4.12,,3.366666667,4.333333333,3.9
8,9,10,2,10,10,175,5,5,5,5,5,5,978,,48,,44,22,27,,7,,8,5,4,,3.488888889,,3.605263158,4.842105263,3.692307692
5,2,7,2,2,0,176,3,5,4,4,5,5,972,,97,24,,77,10,,11,3,,6,4,,4.484536082,4.666666667,,4.38961039,4.5
3,9,8,4,9,7,176,3,4,4,5,4,3,998,,91,14,,61,5,,15,4,,12,3,,4.295454545,4.083333333,,3.898305085,3.6
1,5,2,0,5,0,176,3,5,3,4,3,4,997,,112,14,,14,15,,17,3,,3,5,,4.037037037,4.666666667,,3.846153846,3.714285714
2,10,5,0,6,0,177,2,5,3,5,4,5,1012,30,,19,60,,15,5,,6,10,,6,4.466666667,,3.368421053,4.237288136,,4.2
4,5,8,5,7,3,177,2,3,4,3,3,3,1005,11,,19,16,,4,4,,3,2,,2,3.888888889,,3.823529412,3.5,,3
1,9,0,2,2,5,177,3,4,4,4,3,3,1013,27,,10,75,,24,9,,4,13,,7,3.576923077,,3.6,4.56,,4.291666667
3,7,10,0,6,0,178,3,3,4,5,4,5,1024,163,,,92,126,119,13,,,15,19,17,4.079754601,,,4.25,4.376,4.100840336
0,3,1,5,2,2,178,4,4,4,3,3,2,1021,74,,,82,95,142,8,,,10,6,13,5.054054054,,,5,4.191489362,3.723404255
6,1,8,8,8,1,178,2,5,4,4,4,5,1017,68,,,89,54,121,11,,,13,8,24,4.540983607,,,4.088607595,4.583333333,4.485148515
10,10,10,0,10,0,179,5,5,4,5,5,4,1025,,56,63,35,46,,,9,8,6,7,,,3.732142857,3.793650794,3.882352941,4.644444444,
10,5,7,6,5,1,179,5,5,4,3,3,4,1031,,21,42,16,85,,,7,8,4,7,,,4.047619048,4.073170732,3.333333333,4.404761905,
2,5,3,2,10,1,179,2,3,2,2,5,5,1034,,56,46,46,59,,,12,6,5,5,,,4.107142857,4.434782609,4.173913043,4.440677966,
6,0,10,0,8,0,180,3,1,5,1,4,1,1020,,69,37,60,75,,,12,7,11,11,,,4.492307692,4.264705882,4.767857143,4.555555556,
2,7,9,3,0,2,180,2,3,4,2,1,2,1022,,72,17,25,82,,,8,5,5,10,,,3.985915493,4.125,3.76,4.65,
10,4,2,1,8,2,180,4,5,4,4,4,3,1030,,26,42,45,55,,,3,4,6,5,,,4.32,3.857142857,4.295454545,4.296296296,
7,5,8,8,3,0,181,4,3,5,5,3,5,1011,,,86,76,44,61,,,11,13,6,11,,,4.223529412,4.96,4.931818182,4.459016393
9,9,7,0,10,10,181,3,4,3,5,5,4,1027,,,98,45,93,75,,,19,13,20,16,,,4.459183673,4.444444444,4.141304348,4.813333333
6,0,9,0,5,0,181,3,5,4,4,3,4,1023,,,36,32,54,55,,,10,7,11,11,,,3.685714286,4.483870968,3.603773585,4.454545455
10,9,10,9,0,0,186,5,4,5,5,4,5,1071,19,,6,67,22,,4,,3,11,4,,4.842105263,,3,4.742424242,3.681818182,
2,4,9,2,6,1,186,4,4,5,3,3,4,1074,47,,60,64,28,,6,,7,9,3,,4.238095238,,4.357142857,4.210526316,5.25,
7,5,9,8,0,5,186,3,3,4,3,5,3,1070,134,,30,104,46,,19,,6,14,8,,4.443609023,,4.466666667,4.475728155,5.065217391,
5,8,10,0,10,0,187,3,5,5,5,3,5,1075,68,45,,83,,34,10,6,,12,,8,4.352941176,3.4,,4.843373494,,4.294117647
6,0,5,9,5,0,187,3,5,3,5,4,5,1077,80,27,,38,,42,9,7,,5,,9,4.1125,3.777777778,,4.918918919,,4.179487179
10,0,10,0,10,5,187,4,3,5,5,4,3,1076,101,92,,79,,82,11,10,,8,,7,4.316831683,4.402173913,,4.367088608,,4.048780488
9,0,7,0,7,0,188,4,5,3,5,4,5,1079,69,,73,61,,61,11,,12,14,,11,4.507246377,,3.708333333,4.295081967,,4.573770492
5,0,10,0,5,0,188,2,5,5,5,3,5,1082,35,,57,41,,60,10,,11,9,,17,4.828571429,,3.912280702,4.902439024,,4.465517241
6,0,5,0,8,2,188,5,5,5,5,5,5,1078,91,,94,24,,52,13,,11,6,,11,4.02247191,,4.224719101,3.875,,3.595744681
0,4,0,7,7,0,189,5,2,1,4,4,5,1089,,64,,185,45,48,,11,,12,8,8,,4.55,,4.654054054,4.181818182,4.229166667
5,7,5,5,7,3,189,3,3,2,4,3,3,1087,,46,,70,14,24,,8,,11,5,7,,4.466666667,,4.4,3.642857143,5.333333333
1,6,8,0,6,4,189,4,3,4,5,3,3,1086,,41,,61,17,85,,6,,6,6,12,,3.575,,3.866666667,3.571428571,4.228915663
2,0,10,0,8,7,191,5,5,4,5,5,3,1096,56,,4,19,,81,8,,2,3,,16,4.345454545,,2.75,4.578947368,,4.6
10,9,7,2,1,3,191,5,5,4,4,1,4,1097,16,,5,10,,63,6,,2,3,,11,3,,3.4,3.7,,3.968253968
2,8,2,0,8,2,191,2,4,4,5,4,5,1095,18,,10,8,,26,6,,3,3,,7,3,,3.3,3.75,,3.846153846
0,9,8,3,8,0,192,4,4,5,3,4,5,1101,,,91,135,163,96,,,15,26,25,10,,,4.077777778,4.082089552,4.106918239,4.595744681
3,6,4,9,7,1,192,3,4,3,4,4,5,1100,,,166,118,130,66,,,30,26,35,12,,,4.246987952,4.677966102,4.317829457,4.738461538
10,5,6,2,9,0,192,4,5,3,4,5,5,1099,,,24,58,39,21,,,5,10,8,5,,,4.708333333,4.344827586,4.58974359,3.523809524
0,0,7,0,5,0,193,4,5,3,5,3,5,1104,,,51,41,121,84,,,9,5,22,15,,,4.764705882,4.292682927,4.75,4.464285714
10,5,10,0,8,3,193,5,5,5,5,4,4,1105,,,107,76,108,75,,,17,14,13,14,,,4.065420561,4.171052632,4.509259259,4.28
10,10,10,0,9,0,193,3,4,3,5,3,3,1110,,,58,42,134,85,,,4,10,13,13,,,4.172413793,4.292682927,4.604477612,4.223529412
8,3,0,0,7,3,201,3,4,5,5,2,4,1242,,46,115,38,55,,,2,7,5,9,,,4.644444444,4.640350877,4.026315789,4.166666667,
0,3,10,5,6,3,201,4,4,4,4,3,3,1260,,11,53,50,14,,,2,5,4,5,,,3.545454545,4.603773585,4.166666667,3.857142857,
3,6,10,0,5,0,201,3,3,5,5,4,5,1156,,65,71,51,52,,,7,9,10,11,,,4.383333333,4.582089552,4.06122449,4.612244898,
1,8,1,0,5,7,202,4,4,4,5,3,3,1287,96,38,,,49,82,6,7,,,6,9,4.510416667,4.078947368,,,4.428571429,3.890243902
10,7,3,0,5,0,202,5,4,1,5,3,5,1289,66,42,,,75,39,4,7,,,6,4,4.984848485,3.975609756,,,5.12,4.923076923
3,6,7,0,8,8,202,2,3,3,5,4,4,1288,52,50,,,17,34,6,9,,,5,4,4.0625,3.666666667,,,3.714285714,4.25
0,6,10,2,6,0,203,5,4,5,4,4,5,1298,,70,,103,103,29,,11,,22,17,7,,4.072463768,,4.18627451,3.84,5.115384615
6,9,6,2,1,0,203,4,3,3,4,4,5,1299,,103,,118,102,55,,8,,11,12,8,,4.229166667,,4.416666667,4.12244898,4.647058824
7,0,7,10,6,1,203,3,4,3,4,3,4,1295,,83,,70,64,47,,14,,12,16,11,,3.985714286,,3.775862069,3.979591837,4.435897436
5,7,7,2,4,2,212,4,3,4,4,3,3,1373,,42,20,,55,41,,5,3,,5,8,,3.923076923,3.5,,3.8,3.970588235
7,9,10,1,10,5,212,3,5,4,4,4,4,1383,,16,7,,8,29,,3,2,,3,5,,3.6875,3.142857143,,3.25,3.892857143
5,7,9,5,8,0,212,3,4,4,3,3,5,1388,,30,3,,11,34,,6,2,,3,7,,3.730769231,2.333333333,,4.111111111,3.833333333
0,10,9,0,10,2,213,5,5,3,5,5,4,1394,24,,48,,23,21,5,,8,,3,4,4.217391304,,4.555555556,,4.590909091,4.4
5,4,10,0,4,2,213,3,4,4,4,3,3,1400,2,,4,,46,3,1,,2,,4,2,2.5,,4,,4.295454545,2.333333333
5,8,10,0,8,4,213,3,3,5,4,4,3,1391,96,,94,,95,53,12,,12,,10,10,4.644444444,,4.172413793,,4.113636364,4.446808511
7,7,10,5,10,0,214,4,3,5,5,5,5,1378,91,,76,,55,76,16,,16,,10,15,4.033333333,,4.36,,4.037037037,4.111111111
8,10,5,0,8,5,214,4,4,3,5,3,3,1405,91,,121,,80,108,14,,24,,17,21,4.450549451,,4.210084034,,4.518987342,4
8,7,5,3,10,2,214,5,5,3,4,5,4,1397,96,,123,,81,116,24,,23,,21,30,4.333333333,,3.975409836,,4.3375,3.936363636
5,7,9,5,2,0,216,4,3,3,4,3,5,1392,,83,84,35,,38,,9,16,6,,7,,3.987804878,4.585365854,4.852941176,,4.447368421
7,7,8,6,8,0,216,4,4,4,4,4,4,1380,,25,30,7,,9,,6,8,5,,4,,3.16,4.344827586,4.857142857,,4
8,1,5,0,4,0,216,3,5,5,5,3,5,1387,,35,66,24,,20,,10,10,9,,5,,3.5,4.451612903,4.391304348,,3.894736842
